source,target,value
CVE-2015-5814,apple,6.8
CVE-2015-3181,moodle,4.0
CVE-2015-3180,moodle,4.0
CVE-2015-7180,mozilla,7.5
CVE-2015-3745,apple,6.8
CVE-2015-3128,adobe,0.0
CVE-2015-3128,microsoft,0.0
CVE-2015-3128,apple,0.0
CVE-2015-3128,linux,0.0
CVE-2015-3747,apple,6.8
CVE-2015-3746,apple,6.8
CVE-2015-3741,apple,6.8
CVE-2015-3740,apple,6.8
CVE-2015-3743,apple,6.8
CVE-2015-3742,apple,6.8
CVE-2015-3749,apple,6.8
CVE-2015-3748,apple,6.8
CVE-2015-0432,oracle,4.0
CVE-2015-0433,oracle,4.0
CVE-2015-0430,sun,1.9
CVE-2015-0431,oracle,4.3
CVE-2015-0436,oracle,4.3
CVE-2015-0437,oracle,9.3
CVE-2015-0434,oracle,4.3
CVE-2015-0435,oracle,6.8
CVE-2015-1923,ibm,7.8
CVE-2015-1922,ibm,3.5
CVE-2015-0438,oracle,4.0
CVE-2015-0439,oracle,4.0
CVE-2015-1927,ibm,6.8
CVE-2015-1926,oracle,5.5
CVE-2015-1925,ibm,7.8
CVE-2015-1924,ibm,7.8
CVE-2015-1673,microsoft,9.3
CVE-2015-1672,microsoft,5.0
CVE-2015-1671,microsoft,9.3
CVE-2015-1670,microsoft,4.3
CVE-2015-1677,microsoft,2.1
CVE-2015-1676,microsoft,2.1
CVE-2015-1675,microsoft,9.3
CVE-2015-1674,microsoft,1.9
CVE-2015-4426,pimcore,7.5
CVE-2015-1679,microsoft,2.1
CVE-2015-1678,microsoft,2.1
CVE-2015-6456,ge,9.0
CVE-2015-6454,everest,5.0
CVE-2015-5145,djangoproject,7.8
CVE-2015-2348,php,5.0
CVE-2015-2349,superwebmailer,4.3
CVE-2015-2340,vmware,6.1
CVE-2015-2340,microsoft,6.1
CVE-2015-2341,vmware,7.8
CVE-2015-2346,huawei,4.0
CVE-2015-2347,huawei,4.3
CVE-2015-2588,oracle,4.3
CVE-2015-2589,oracle,4.9
CVE-2015-3291,linux,2.1
CVE-2015-3290,linux,7.2
CVE-2015-3294,thekelleys,6.4
CVE-2015-2580,oracle,1.9
CVE-2015-2581,oracle,6.4
CVE-2015-2582,oracle,4.0
CVE-2015-2582,debian,4.0
CVE-2015-2582,canonical,4.0
CVE-2015-2583,oracle,6.9
CVE-2015-2584,oracle,4.0
CVE-2015-2585,oracle,2.1
CVE-2015-2586,oracle,4.3
CVE-2015-2587,oracle,4.3
CVE-2015-0728,cisco,4.3
CVE-2015-0729,cisco,4.3
CVE-2015-0726,cisco,6.8
CVE-2015-0727,cisco,4.3
CVE-2015-0724,cisco,4.3
CVE-2015-0725,cisco,7.8
CVE-2015-0722,cisco,7.8
CVE-2015-0723,cisco,6.1
CVE-2015-1079,apple,6.8
CVE-2015-1078,apple,6.8
CVE-2015-5858,apple,5.0
CVE-2015-1071,apple,6.8
CVE-2015-1070,apple,6.8
CVE-2015-1073,apple,6.8
CVE-2015-1072,apple,6.8
CVE-2015-1075,apple,6.8
CVE-2015-1074,apple,6.8
CVE-2015-1077,apple,6.8
CVE-2015-1076,apple,6.8
CVE-2015-2646,oracle,4.3
CVE-2015-5965,fortinet,5.0
CVE-2015-6584,sprymedia,4.3
CVE-2015-6587,openafs,4.0
CVE-2015-6587,debian,4.0
CVE-2015-6580,google,7.5
CVE-2015-6581,google,7.5
CVE-2015-3369,taxonewsproject,3.5
CVE-2015-3368,osinet,3.5
CVE-2015-3367,patterns,6.8
CVE-2015-3366,alfresco,5.8
CVE-2015-3365,nodeauthorproject,3.5
CVE-2015-3364,levelteninteractive,4.3
CVE-2015-3363,joshics,6.8
CVE-2015-3362,videoproject,3.5
CVE-2015-3361,linkitproject,2.1
CVE-2015-3360,termmergeproject,3.5
CVE-2015-3165,postgresql,4.3
CVE-2015-3165,canonical,4.3
CVE-2015-3165,debian,4.3
CVE-2015-3164,novell,3.6
CVE-2015-3164,x.org,3.6
CVE-2015-2640,oracle,6.9
CVE-2015-2778,quassel-irc,5.0
CVE-2015-1295,google,7.5
CVE-2015-1294,google,7.5
CVE-2015-1297,google,7.5
CVE-2015-1296,google,5.0
CVE-2015-1291,google,6.4
CVE-2015-1293,google,7.5
CVE-2015-1292,google,5.0
CVE-2015-1548,acme,5.0
CVE-2015-5805,apple,6.8
CVE-2015-5176,redhat,5.8
CVE-2015-1299,google,7.5
CVE-2015-1298,google,4.3
CVE-2015-0982,schneiderelectric,7.5
CVE-2015-0605,cisco,4.3
CVE-2015-1459,fortinet,4.3
CVE-2015-1458,fortinet,6.9
CVE-2015-0986,moxa,7.5
CVE-2015-1100,apple,5.4
CVE-2015-0984,honeywell,0.0
CVE-2015-0604,cisco,5.0
CVE-2015-1453,fortinet,5.0
CVE-2015-1452,fortinet,7.8
CVE-2015-1451,fortinet,3.5
CVE-2015-1450,restaurantbiller,7.5
CVE-2015-1109,apple,2.1
CVE-2015-1456,fortinet,4.0
CVE-2015-1455,fortinet,7.5
CVE-2015-1454,bluecoat,7.1
CVE-2015-4511,mozilla,6.8
CVE-2015-1601,siemens,6.8
CVE-2015-2762,websense,5.0
CVE-2015-4510,mozilla,6.8
CVE-2015-3158,picketlink,4.0
CVE-2015-2763,websense,0.0
CVE-2015-1589,archmageproject,5.0
CVE-2015-0851,xmltoolingproject,5.0
CVE-2015-0852,freeimageproject,5.0
CVE-2015-2166,ericsson,5.0
CVE-2015-1604,adminsystemscmsproject,6.5
CVE-2015-2165,ericsson,4.3
CVE-2015-1581,mobiledomainproject,6.8
CVE-2015-1580,redirectionproject,6.8
CVE-2015-1605,dell,7.5
CVE-2015-1585,fatfreecrm,6.8
CVE-2015-1587,maarch,7.5
CVE-2015-5358,juniper,7.1
CVE-2015-5359,juniper,7.1
CVE-2015-0189,ibm,4.0
CVE-2015-5523,htacg,4.3
CVE-2015-2768,websense,4.3
CVE-2015-0180,ibm,5.5
CVE-2015-5353,novius-os,7.5
CVE-2015-5354,novius-os,5.8
CVE-2015-5355,cagintranetworks,4.3
CVE-2015-5356,cagintranetworks,4.3
CVE-2015-2769,websense,6.8
CVE-2015-4753,oracle,2.1
CVE-2015-4519,mozilla,4.3
CVE-2015-4751,oracle,5.0
CVE-2015-4750,oracle,5.0
CVE-2015-4757,canonical,3.5
CVE-2015-4757,oracle,3.5
CVE-2015-4756,oracle,4.0
CVE-2015-4755,oracle,5.0
